Ten_Sach;SKU;The_Loai;Gia;Ten_NCC;Ten_NXB;Nam_XB;Ten_Tac_Gia;Trong_Luong;Kich_Thuoc;So_Trang;Hinh_Thuc;Mo_Ta
Mùi Của Ký Ức;SKU: 8934974147886;Loại sản phẩm: Nhóm Sách Văn Học Việt Nam;33,150₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;;Nguyễn Quang Thiều;190;13 x 20;208;Bìa Mềm;"Cuộc sống thật kỳ diệu, nó luôn mang đến cho con người những món quà bất ngờ, chúng ta chỉ cần cúi xuống mặt đất dưới chân mình là nhận ra. Người làng Chùa làm nhiều món gỏi khác nhau nhưng gỏi cua là món gỏi ""Lý Trưởng"" theo cách gọi của người làng Chùa. Nghĩa là món gỏi đứng đầu. Món gỏi quyền uy nhất trong các món gỏi và trong mọi mâm cỗ Cuộc sống thật kỳ diệu, nó luôn mang đến cho con người những món quà bất ngờ, chúng ta chỉ cần cúi xuống mặt đất dưới chân mình là nhận ra. Người làng Chùa làm nhiều món gỏi khác nhau nhưng gỏi cua là món gỏi ""Lý Trưởng"" theo cách gọi của người làng Chùa. Nghĩa là món gỏi đứng đầu. Món gỏi quyền uy nhất trong các món gỏi và trong mọi mâm cỗ. Ngoài ra còn gỏi cá mè, gỏi tép đỏ, gỏi cá diếc. Gỏi cá mè hay gỏi tép đỏ cách làm tương đối giống nha. Nhưng gỏi cá diếc thì hoàn toàn khác. Gỏi cá diếc thường ăn vào đầu mùa hạ khi cá diếc mới lớn thường chỉ nhỉnh hơn ngón tay cái một chút. Lúc ấy đầu cá, xương cá còn mềm có thể nhai và ăn hết, Khi ăn gỏi cá diếc, chậu đựng cá diếc sống được đặt giữa mâm, xung quanh là cá loại gia vị dùng kèm như lá đinh lăng, bọng lá cách, lá sung, hành sống, hẹ tươi, lá nốt, lá xương xông, búp ổi, gừng và giềng thái mỏng... Riêng món gỏi cá diếc thì không phải chọn lựa loại gia vị nào riêng mà có thể ăn với tất cả các loại gia vị. Cứ bắt một con cá bỏ vào miệng nhai là người ta lại nhặt rau và gia vị ăn cùng, rồi uống một ngụm rượu nếp..."
Thầy Giáo Biến Hình - Quái Vật Đại Náo Công Viên Trò Chơi (Tập 2);SKU: 8934974162902;Loại sản phẩm: Nhóm Sách Thiếu Nhi;63,700₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2019;Sam Watkins;200;13 x 20;186;Bìa Mềm;"Lớp của Jake sẽ đến dự buổi khai trương công viên chủ đề Phiêu lưu Hoang dã. Công viên có những trò chơi tuyệt vời, nhưng mọi việc náo loạn quá mức khi thầy Hyde lại biến thành quái vật và quậy tưng Chuyến Tàu Ma! Thầy Giáo Biến Hình - Quái Vật Đại Náo Công Viên Trò Chơi (Tập 2) - Quái vật ""đánh rắm"" mù mịt!"
Con Trai Con Gái Rồi Sao Nào?;SKU: 8934974153689;Loại sản phẩm: Nhóm Sách Tuổi Teen;60,760₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2018;Geraldine Maincent Halfbob;160;19 x 26;48;Bìa Mềm;"Tại sao có nam và có nữ? Có phải nam thì chơi thể thao giỏi hơn? Con Trai Con Gái Rồi Sao Nào? Tại sao có nam và có nữ? Có phải nam thì chơi thể thao giỏi hơn? Ở đâu ra khái niệm ""phái mạnh"", ""phái yếu""? Hận nữ là gì? Đực tính là gì? Từ khi nào con gái mặc quần dài? Tại sao đực thì áp đảo cái? Khám phá con trai - con gái: điểm chung và điểm riêng, quyền và tự do của nữ giới, định kiến giới tính… Một tập sách không thể thiếu để học cách tôn trọng và né cuộc chiến giới tính."
Mất Hút Bên Kia Đồi;SKU: 8934974129387;Loại sản phẩm: Nhóm Sách Văn Học Việt Nam;60,760₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2014;D.;160;13 x 20;136;Bìa Mềm;"""Y bĩu môi ngó Tường cười đẹp như mộng. Những thứ quan trọng nhất thường khoác bề ngoài rất chi kì cục. Anh thuộc đám người không ác độc mà chỉ nói được tới đó, giúp được tới đó, thương tới đó và biết mình hết lòng tại đó. ""Y bĩu môi ngó Tường cười đẹp như mộng. Những thứ quan trọng nhất thường khoác bề ngoài rất chi kì cục. Anh thuộc đám người không ác độc mà chỉ nói được tới đó, giúp được tới đó, thương tới đó và biết mình hết lòng tại đó. Họ vụng về nên xây khoảng lòng bị thiếu cửa ra vào, Y phải tự lội lặn để thấy họ đang cười và vuốt ve bên trong, có điều quá e ngại để nói với tất cả rằng họ đang như thế. Nếu ai đó nói họ nghe họ chính là như thế, họ sẽ đỏ mặt cho coi. Và đỏ mặt rất dễ thương..."""
Những Ngày Bão Táp;SKU: 8934974147060;Loại sản phẩm: Nhóm Sách Văn Học Việt Nam;61,740₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;;Hữu Mai;180;13 x 21;214;Bìa Mềm;"Những ngày bão táp được nhà văn Hữu Mai viết năm 1956, được nhiều người viết văn xuôi đánh giá là một trong những cuốn sách quan trọng về thời kỳ cải cách ruộng đất Những Ngày Bão Táp Những ngày bão táp được nhà văn Hữu Mai viết năm 1956, được nhiều người viết văn xuôi đánh giá là một trong những cuốn sách quan trọng về thời kỳ cải cách ruộng đất “Bằng hình thức nghệ thuật, tác giả đã cho chúng ta biết những sự thật trong cải cách ruộng đất. Chúng ta đau xót với người bị oan, đau xót nhận thấy những sai lầm trong cải cách ruộng đất quả là nghiêm trọng; nhưng mặt khác, chúng ta thấy nhân dân bao giờ cũng sáng suốt và dũng cảm. Cho nên, mặc dù nói đến sai lầm, Những ngày bão táp không phải là một bức tranh màu xám. Người đọc không cảm thấy bi quan mà như đang đợi những ngày quang đãng sau cơn bão táp... Tôi đọc cuốn truyện suốt một mạch... Tôi hồi hộp theo dõi số mệnh của gia đình (nhân vật) và nóng lòng mong đợi sự kết thúc của câu chuyện. Do đâu có được cảm giác say sưa đó? Một phần do chủ đề mới, và một phần cũng nhờ tác giả đã khéo kể, khéo diễn tả... Có đôi lúc tác giả đạt đến chỗ tinh vi trong nghệ thuật diễn tả nội tâm của các hạng nhân vật"" ( Phan Nhân, báo Nhân Dân, 11-4-1957)."
Sống Có Giá Trị - Nơi Bạn Dừng Chân;SKU: 8934974145950;Loại sản phẩm: Nhóm Sách Tâm Lý - Kỹ Năng Sống;60,760₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2019;Nhiều Tác Giả;200;13 x 20;176;Bìa Mềm;Con người ta dù có mạnh mẽ đến đâu, xung quanh ta cũng đầy rẫy những bất trắc, khó khăn, đầy những cám dỗ với vẻ ngoài mỹ lệ, nhưng thực chất lại là những “hố đen” không đáy sẵn sàng nghiền nát cả nhân cách và tương lai của bạn. Sống Có Giá Trị - Nơi Bạn Dừng Chân Con người ta dù có mạnh mẽ đến đâu, xung quanh ta cũng đầy rẫy những bất trắc, khó khăn, đầy những cám dỗ với vẻ ngoài mỹ lệ, nhưng thực chất lại là những “hố đen” không đáy sẵn sàng nghiền nát cả nhân cách và tương lai của bạn. Đặc biệt đối với những bạn trẻ tuổi teen - nhóm độc giả chính của bộ sách, những nguy cơ này lại càng nguy hiểm hơn, do các bạn chưa có đủ kinh nghiệm sống để nhận diện và khắc chế chúng. Trong tập sách Nơi bạn dừng chân, tập 2 của bộ sách Sống có giá trị, chúng ta sẽ cùng ngồi lại với nhau một chút, tại một chốn an toàn và bình yên ngay trong chính tâm hồn của bạn, cùng bạn khám phá những điều đẹp nhất, quý giá nhất nằm ngay trong bạn, và giúp bạn biến những báu vật đó thành những “vũ khí” hiệu quả chống lại những “hố đen” của cuộc đời.
Luyện Thi Năng Lực Nhật Ngữ N2 - Từ Vựng;SKU: 8934974140122;Loại sản phẩm: Nhóm Sách Học Ngoại Ngữ;31,620₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;;Matsumoto Noriko;220;19 x 26;147;Bìa Mềm;Đây là một tựa sách học tiếng Nhật hàng đầu trong hệ thống phân phối sách Kinokuniya lớn nhất Nhật Bản. Bộ sách này giúp những bạn chuẩn bị tham gia Kỳ thi năng lực Nhật ngữ JLPT nắm được những nội dung kiến thức cần phải có trong năng lực Nhật ngữ - trình độ N2 một cách nhanh chóng, hiệu quả và tổng quát nhất trong khoảng thời gian từ 4 đến 6 tuần. Đây là một tựa sách học tiếng Nhật hàng đầu trong hệ thống phân phối sách Kinokuniya lớn nhất Nhật Bản. Bộ sách này giúp những bạn chuẩn bị tham gia Kỳ thi năng lực Nhật ngữ JLPT nắm được những nội dung kiến thức cần phải có trong năng lực Nhật ngữ - trình độ N2 một cách nhanh chóng, hiệu quả và tổng quát nhất trong khoảng thời gian từ 4 đến 6 tuần.
Keep Calm - Bình Thản Và Tiếp Tục Vui Sống;SKU: 8934974132790;Loại sản phẩm: Nhóm Sách Tâm Lý - Kỹ Năng Sống;31,620₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;;Mark A. Reinecke;180;13 x 21;175;Bìa Mềm;Quyển sách dành cho bất kỳ ai phải đối mặt với sự phiền muộn và lo lắng. Thông qua sự hướng dẫn tận tình và đầy khích lệ, tác giả đã làm cho những điều khó nắm bắt về sự phiền muộn trở nên dễ hiểu hơn. Quyển sách dành cho bất kỳ ai phải đối mặt với sự phiền muộn và lo lắng. Thông qua sự hướng dẫn tận tình và đầy khích lệ, tác giả đã làm cho những điều khó nắm bắt về sự phiền muộn trở nên dễ hiểu hơn. Ông đã chỉ ra những suy nghĩ và phản xạ điển hình do sự phiền muộn gây ra, sau đó ông cung cấp những câu hỏi hữu ích để bạn tự chất vấn bản thân và những hành động xoa dịu để bạn có thể áp dụng ngay lập tức. Quyển sách nhỏ tuyệt vời này đã đi thẳng vào vấn đề với những câu trích dẫn truyền cảm hứng, những thông tin hữu ích, cực kỳ dễ hiểu và rất xứng đáng để mọi người tìm đọc.
Cô Ơi, Em Quên Làm Bài Tập Rồi!;SKU: 8934974157441;Loại sản phẩm: Nhóm Sách Thiếu Nhi;61,740₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2018;Etsuko Yamamoto - Makiko Sato;140;15 x 21;75;Bìa Mềm;Cậu bé Yusuke quên làm bài tập về nhà nên đã bịa ra một lý do để được cô chủ nhiệm Eriko thông cảm. Tuy nhiên, lý do của cậu không thuyết phục được cô Cô Ơi, Em Quên Làm Bài Tập Rồi! Cậu bé Yusuke quên làm bài tập về nhà nên đã bịa ra một lý do để được cô chủ nhiệm Eriko thông cảm. Tuy nhiên, lý do của cậu không thuyết phục được cô. Nhưng cô Eriko đồng ý rằng nếu lý do hợp lý thì các em sẽ được miễn làm bài tập về nhà. Thế là mỗi ngày, một học sinh trong lớp lại bịa một câu chuyện để khỏi phải làm bài. Cho đến một ngày, các em nhận ra bịa một lý do hợp lý khó hơn nhiều so với làm bài tập cô cho. Đây là câu chuyện về cách giáo dục bậc tiểu học khuyến khích khả năng sáng tạo của các em học sinh ở Nhật Bản.
Ga Ký Ức;SKU: 8934974133339;Loại sản phẩm: Nhóm Sách Văn Học Việt Nam;61,740₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2015;Phong Điệp;220;13 x 20;252;Bìa Mềm;"Một chàng trai vừa lúc lọt lòng đã bị khoác lên mình tên gọi “thằng con hoang”. Quyết tâm đổi đời, rũ bỏ kí ức nhục nhã, tự thiết lập tương lai sáng lạn cho mình, nhưng liệu kí ức có phải là thứ anh có thể gột bỏ dễ dàng? Ba nhân vật cùng thế hệ và cùng mang trong mình những vết thương từ kí ức. Một cô gái đau đớn vì sau những năm dài đằng đẵng chờ cha trở về, thì chỉ trong một thời gian ngắn ngủi, người đàn ông duy nhất của gia đình đã biến mất, không một lời giải thích. Điều đó đã để lại một vết thương lòng không gì có thể hàn gắn nổi, đeo đuổi cô từ quá khứ đến hiện tại. Một chàng trai lớn lên ở một ngôi làng bị nguyền rủa, nơi mà dòng họ của anh ta, đàn ông thì mắc một căn bệnh bí hiểm truyền đời; những cô gái thì mắc bệnh dở người, đều bị chết trước tuổi trưởng thành. Sau cái chết của người cha, chàng trai đã theo mẹ bỏ làng đến nơi khác sinh sống, những tưởng sẽ trốn thoát được lời nguyền của ngôi làng. Một chàng trai vừa lúc lọt lòng đã bị khoác lên mình tên gọi “thằng con hoang”. Quyết tâm đổi đời, rũ bỏ kí ức nhục nhã, tự thiết lập tương lai sáng lạn cho mình, nhưng liệu kí ức có phải là thứ anh có thể gột bỏ dễ dàng? Ba con người, ba số phận. Họ tình cờ gặp nhau ở sân ga của kí ức. Họ sẽ đi về đâu?"
Nguyễn Nhật Ánh - Những Cô Em Gái;SKU: 8934974158684;Loại sản phẩm: Nhóm Sách Tuổi Teen;32,130₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2019;Nguyễn Nhật Ánh;200;12 x 20;197;Bìa Mềm;Khoa từ quê ra thành phố học, tấp tểnh làm thơ được đăng báo và bắt đầu nổi tiếng trong giới học sinh. Nhờ thế, Khoa được các bạn trai trong lớp hâm mộ, nhờ làm thơ tặng em gái mình, thực tế là dùng thơ ấy tặng bạn gái hoặc người yêu. Sản phẩm thuộc: Top bộ Sách Nguyễn Nhật Ánh bán chạy nhất Khoa từ quê ra thành phố học, tấp tểnh làm thơ được đăng báo và bắt đầu nổi tiếng trong giới học sinh. Nhờ thế, Khoa được các bạn trai trong lớp hâm mộ, nhờ làm thơ tặng em gái mình, thực tế là dùng thơ ấy tặng bạn gái hoặc người yêu. Run rủi thế nào, những bài thơ ấy được truyền tay qua một con đường vòng nào đó lại đến tay Quyên, cô gái mà Khoa thầm yêu trộm nhớ và những bài thơ làm giùm bạn bè ấy đã lấy cảm tưởng thật từ mối tình chưa ngỏ với Quyên. Sự việc ấy gây nhiều hiểu lầm và nuôi trong Khoa niềm hy vọng trước khi Khoa đối diện với sự thật.
Mỗi Ngày Tiết Kiệm Một giờ;SKU: 8934974144502;Loại sản phẩm: Nhóm Sách Tâm Lý - Kỹ Năng Sống;32,130₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;;Michael Heppell;250;13 x 20;188;Bìa Mềm;Đây là một cuốn sách có thể thúc đẩy bất kỳ ai hành động, để không những “Mỗi Ngày Tiết Kiệm Một Giờ mà thậm chí nhiều giờ, đồng thời gia tăng chất lượng cuộc sống của tất cả chúng ta. Mỗi Ngày Tiết Kiệm Một Giờ (Tái Bản Lần Thứ 11) là cuốn sách về quản lý thời gian với cách tiếp cận thẳng thắn và trực tiếp của Michael Heppell. Có thể nói trong quyển sách này chỉ có sự thực hành, thực hành và thực hành, vì hầu như từ đầu đến cuối đều là những ý tưởng mà tác giả đã học hỏi, tổng hợp và tự mình thử nghiệm hoặc do những độc giả thân thiết của ông thử nghiệm. Mỗi chương sách là một tập hợp nhiều ý tưởng và công cụ hữu dụng để tiết kiệm tối đa thời gian, được tác giả chia theo các chủ đề rất gần gũi với đời sống thường ngày của bất cứ ai trong chúng ta. Đây là một cuốn sách có thể thúc đẩy bất kỳ ai hành động, để không những “Mỗi Ngày Tiết Kiệm Một Giờ mà thậm chí nhiều giờ, đồng thời gia tăng chất lượng cuộc sống của tất cả chúng ta.
Sự Tiến Hóa Của Định Chế Thương Mại;SKU: 8934974064527;Loại sản phẩm: SÁCH;56,700₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2007;John H. Barton;;15 x 21;471;Bìa Mềm;"Quyển sách trình bày lịch sử phát triển toàn diện về kinh tế, chính trị của các thể chế thương mại đa phương của thế giới: Hiệp định chung về thuế quan và thương mại - GAFF và tổ chức thương mại thế giới - WTO. Sự Tiến Hóa Của Định Chế Thương Mại Quyển sách trình bày lịch sử phát triển toàn diện về kinh tế, chính trị của các thể chế thương mại đa phương của thế giới: Hiệp định chung về thuế quan và thương mại - GAFF và tổ chức thương mại thế giới - WTO. Quyển sách giải thích rõ tính logic về chính trị của các quy đinh và quá trình phát triển của các thể chế này. Quyển sách nghiên cứu các nền tảng chính trị, luật pháp và kinh tế của định chế thương mại dưới nhiều góc độ khác nhau. Theo các tác giả, sự tiến hóa của GAFF/WTO về cơ bản luôn bị chi phối bởi các quyền lực chính trị; và trong những năm gần đây nhiều khía cạnh của định chế thương mại đã không theo kịp những thay đổi, những thách thức do việc mở rộng thành viên và các ưu đãi thương mại."
Luyện Thi Năng Lực Nhật Ngữ N3 - Nghe Hiểu;SKU: 8934974133278;Loại sản phẩm: Nhóm Sách Học Ngoại Ngữ;33,150₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;;Matsumoto Noriko;180;19 x 26;114;Bìa Mềm;Luyện Thi Năng Lực Nhật Ngữ N3 - Nghe Hiểu Năng lực Nhật ngữ N3 là chứng chỉ tiếng Nhật cơ bản nhất mà các công ty Nhật và phần lớn các trường Đại học của Nhật Bản đều yêu cầu. Có nghĩa là nếu bạn có chứng chỉ năng lực Nhật ngữ N3 thì bạn sẽ có cơ hội vào làm việc trong các công ty Nhật hoặc qua Nhật du học. Năng lực Nhật ngữ N3 là chứng chỉ tiếng Nhật cơ bản nhất mà các công ty Nhật và phần lớn các trường Đại học của Nhật Bản đều yêu cầu. Có nghĩa là nếu bạn có chứng chỉ năng lực Nhật ngữ N3 thì bạn sẽ có cơ hội vào làm việc trong các công ty Nhật hoặc qua Nhật du học. Bộ sách Nihongo somatome N3 này được xuất bản nhằm giúp bạn có được những kiến thức cần thiết một cách nhanh chóng, hiệu quả và hoàn thành tốt kỳ thi năng lực Nhật ngữ N3. Bộ sách này có 5 quyển: Hán tự (Kanji), Từ vựng (Goi), Đọc hiểu (Dokkai), Nghe hiểu (Choukai) và Ngữ pháp (Bunpou), do Nhà xuất bản ASK xuất bản và là một trong số các tựa sách học tiếng Nhật hàng đầu trong hệ thống phân phối sách Kinokuniya lớn nhất Nhật Bản. Hi vọng bộ sách sẽ giúp các bạn chuẩn bị tham gia kỳ thi năng lực Nhật ngữ JLPT nắm được những nội dung kiến thức cần phải có trong năng lực Nhật ngữ N3 một cách nhanh chóng, hiệu quả và tổng quát nhất trong khoảng thời gian từ 4 đến 6 tuần.
Nếu Tôi Biết Được Khi Còn 20;SKU: 8934974137351;Loại sản phẩm: Nhóm Sách Tâm Lý - Kỹ Năng Sống;62,720₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;;Tina Seelig;200;13 x 21;252;Bìa Mềm;Trong cả cuốn sách, những triết lý kinh doanh đơn giản được minh hoạ bằng những ví dụ cụ thể và sáng tạo. Những tình huống kinh doanh được đặt ra, có thành công và có cả thất bại, vấn đề là cách đối mặt với nó. Nếu Tôi Biết Được Khi Còn 20 Bạn có 5 đô la và 2 giờ đồng hồ để kinh doanh. Bạn sẽ làm gì? - Đây là một trong những ví dụ minh hoạ được nhắc đến trong cuốn sách Nếu Tôi Biết Được Khi Còn 20. Trả lời cho câu hỏi này có rất nhiều cách và với mỗi cách, tác giả lại chỉ ra những bài học nhỏ thôi nhưng hữu ích. Cuốn sách được chia thành 10 chương với những vấn đề khác nhau theo một trình tự rõ ràng. Trong cả cuốn sách, những triết lý kinh doanh đơn giản được minh hoạ bằng những ví dụ cụ thể và sáng tạo. Những tình huống kinh doanh được đặt ra, có thành công và có cả thất bại, vấn đề là cách đối mặt với nó. Nếu Tôi Biết Được Khi Còn 20 gần gũi với những bài học bổ ích. Ngôn từ đơn giản, dễ hiểu chuyển tải một cách trọn vẹn những hàm ý sâu sắc của tác giả. Những bước ngoặt lớn của cuộc đời như rời xa giảng đường êm ả hoặc khởi đầu một sự nghiệp mới thường khiến ta nhụt chí. Phải đối mặt với một rừng những lựa chọn trong khi hiểu rằng sẽ chẳng có ai cho ta biết mình đang lựa chọn đúng hay sai thật đáng sợ. Chẳng có con đường vẽ sẵn hay công thức viết sẵn nào cho thành công, thậm chí việc quyết định mình nên bắt đầu thế nào và ở đâu cũng đã rất khó khăn rồi. Hiểu được những khó khăn, đặc biệt của những người trẻ, trước các bước ngoặt như thế trong cuộc đời, tác giả – một doanh nhân, một giáo viên, một nhà khoa học – đã dồn tâm huyết viết nên những chia sẻ tuy nhẹ nhàng và khiêm nhường, nhưng thật sâu sắc. Những trang sách chứa đầy ví dụ thú vị, cả trong phòng học lẫn trong phòng họp, về những con người sẵn sàng phấn đấu để vượt xa các tiêu chuẩn ở mức “vừa đủ”, thách thức các giả định hay quan điểm đã thành lối mòn, không bao giờ bỏ lỡ cơ hội để vươn tới tiềm năng cao nhất, và nhờ đó đạt tới những thành công vang dội. Thông qua quyển sách, tác giả còn muốn các độc giả, đặc biệt là độc giả trẻ, sẽ được trang bị đủ sự tự tin để biến căng thẳng thành sự hào hứng, biến thử thách thành các cơ hội, và cứ sau mỗi lần vấp ngã lại đứng lên trưởng thành hơn. Thông điệp cốt lõi của quyển sách có thể tóm gọn như sau: “Hãy cho phép mình táo bạo và xuất sắc!”
Luyện Thi Năng Lực Nhật Ngữ N4: Ngữ Pháp, Đọc Hiểu, Nghe Hiểu;SKU: 8934974164357;Loại sản phẩm: Nhóm Sách Học Ngoại Ngữ;63,700₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2019;Sasaki Hitoko;240;19 x 26;131;Bìa Mềm;"Bộ sách gồm 2 quyển: ""Hán tự (Kanji) - Từ vựng (Goi)"" và ""Đọc hiểu (Dokkai) - Nghe hiểu (Choukai) - Ngữ pháp (Bunpou)"" Luyện Thi Năng Lực Nhật Ngữ N4: Ngữ Pháp, Đọc Hiểu, Nghe Hiểu Đây là một tựa sách học tiếng Nhật hàng đầu trong hệ thống phân phối sách Kinokuniya lớn nhất Nhật Bản. Bộ sách này giúp những bạn chuẩn bị tham gia Kỳ thi năng lực Nhật ngữ JLPT nắm được những nội dung kiến thức cần phải có trong năng lực Nhật ngữ - trình độ N4 một cách nhanh chóng, hiệu quả và tổng quát nhất trong khoảng thời gian từ 4 đến 6 tuần."
Âm Thanh Kinh Hồn;SKU: 8934974139669;Loại sản phẩm: Nhóm Sách Thiếu Nhi;30,600₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2016;Nick Arnold;140;14 x 20;169;Bìa Mềm;Bạn có bao giờ chú ý đến âm thanh xung quanh? Tại sao tiếng xì hơi lại ồn ào quá sức? Lí do gì mà một nốt đơn thôi cũng đủ hóa một ca sĩ mới thành kẻ hủy diệt thủy tinh các loại? Horrible Science - Âm Thanh Kinh Hồn Bạn có bao giờ chú ý đến âm thanh xung quanh? Tại sao tiếng xì hơi lại ồn ào quá sức? Lí do gì mà một nốt đơn thôi cũng đủ hóa một ca sĩ mới thành kẻ hủy diệt thủy tinh các loại? Nếu bạn đủ sức chịu đựng cái khía cạnh “bệnh bệnh” của khoa học thì hãy khám phá “Âm thanh kinh hồn”, tìm hiểu sóng âm thanh khiến cho màng nhĩ của bạn rung lẩy bẩy ra sao, làm thế nào mà một cái micro cỏn con có thể biến giọng của bạn thành các nhịp điện tử… và tại sao bạn bị chảy máu mũi khi nghe phải tiếng gióng chuông rền rĩ.
Trái Tim Có Hình Hộ Khẩu;SKU: 8934974149828;Loại sản phẩm: Nhóm Sách Văn Học Việt Nam;58,800₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2017;Dương Thành Truyền;180;13 x 20;196;Bìa Mềm;Tập phiếm đàm gồm 20 tạp bút như những lát cắt cuộc sống, bày tỏ những suy nghĩ của tác giả trước các sự kiện, hiện tượng, con người… Với bút pháp trào phúng, cách tiếp cận và phân tích vấn đề nhẹ nhàng nhưng rất sâu, tập phiếm đàm cung cấp cho bạn đọc một góc nhìn độc đáo về xã hội, đánh thức trách nhiệm công dân trong mỗi người qua các hành vi cụ thể. Tập phiếm đàm gồm 20 tạp bút như những lát cắt cuộc sống, bày tỏ những suy nghĩ của tác giả trước các sự kiện, hiện tượng, con người… Với bút pháp trào phúng, cách tiếp cận và phân tích vấn đề nhẹ nhàng nhưng rất sâu, tập phiếm đàm cung cấp cho bạn đọc một góc nhìn độc đáo về xã hội, đánh thức trách nhiệm công dân trong mỗi người qua các hành vi cụ thể.
Người Dám Cho Đi;SKU: 8934974179382;Loại sản phẩm: SÁCH;58,500₫;;NXB Trẻ;2022;Bob Burg, JohnDavid Mann;200;20.5 x 13 cm;148;Bìa Mềm;Người dám cho đi chứa đựng một triết lý sống – hay đúng hơn là phương cách sống – giúp việc kinh doanh của bạn phát đạt, giúp cuộc sống của bạn phong phú và tạo cho bạn một ấn tượng tuyệt vời đối với thế giới xung quanh.
Di Sản Hồ Chí Minh - Bác Hồ Với Mặt Trận Việt Minh;SKU: 8934974173564;Loại sản phẩm: SÁCH;30,600₫;;NXB Trẻ;2021;Hà Minh Hồng, Trần Thuận, Lưu Văn Quyết;100;23 x 15.5 cm;100;Bìa Mềm;Nội dung sách khắc họa những nét cơ bản về vai trò của lãnh tụ Hồ Chí Minh trong Mặt trận Việt Minh (1941-1951), nhờ sự lãnh đạo tài tình của Người, mà Việt Minh đã đoàn kết được mọi tầng lớp nhân dân, đánh đổ thực dân Pháp, phát xít Nhật, giành thắng lợi trong Cách mạng tháng Tám, lập nên nước Việt Nam Dân chủ Cộng hòa.
Để Cho Mẹ Nắm Tay Con;SKU: 8934974132134;Loại sản phẩm: Nhóm Sách Nuôi Dạy Con;58,800₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2015;Lê Thúy Bảo Nhi;200;12 x 20;211;Bìa Mềm;Trong cuộc xã hội đầy cạm bẫy, gia đình chính là thành lũy bảo vệ con khỏi những thói xấu. Muốn có được điều đó, cha mẹ phải trang bị cho mình nhiều hiểu biết mới. Trong cuộc xã hội đầy cạm bẫy, gia đình chính là thành lũy bảo vệ con khỏi những thói xấu. Muốn có được điều đó, cha mẹ phải trang bị cho mình nhiều hiểu biết mới. Từ nhu cầu thực tế trong cuộc sống hiện nay là: làm thế nào để cha mẹ có kiến thức làm cha mẹ, làm thế nào để cha mẹ hiểu con, gần con, trò chuyện với con, làm bạn cùng con vẫn là niềm trăn trở và mong ước của tác giả và của nhiều người làm công tác giáo dục khác. Cuốn sách này tập hợp những bài báo đã đăng trên Tuổi trẻ cuối tuần do chính tác giả viết, xen vào đó là những câu chuyện giáo dục, câu chuyện tư vấn mà tác giả ghi lại trong quá trình làm công tác tư vấn tại trường phổ thông. Hy vọng những gì tác giả chia sẻ trong đó ít nhiều gì cũng sẽ giúp ích cho các bậc phụ huynh đang có con độ tuổi từ 1 đến 18 tuổi.
